indicator,base-per,Unit,Date,Value
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2023M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2024M12,46.04
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2014M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M1,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M2,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M3,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M4,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M5,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M6,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M7,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M8,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M9,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M10,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M11,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2015M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M1,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M2,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M3,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M4,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M5,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M6,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M7,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M8,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M9,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M10,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M11,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2016M12,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M1,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M2,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M3,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M4,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M5,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M6,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M7,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M8,1.25
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS, weights",Not Applicable,Weight,2017M9,1.25
